"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",8,8,8,6.4,5.9,4.6,6.2,7.6,8,8,8,7.3,5.2,5.4,7.3,7.9,8
"Mean",3.54046002190581,3.13306936500953,2.04501329787234,1.77931488801054,1.6788013318535,1.63205282112845,1.81241217798595,2.32706218274112,2.32463038180341,2.4831608005521,2.38275996872557,2.14033264033264,1.84394904458599,1.83021844660194,1.94069097888676,2.90192307692308,2.56702629069609
"Median",3.4,2.8,1.7,1.5,1.4,1.5,1.5,2,2,2,1.9,1.8,1.7,1.7,1.7,2.5,2.1
"Q95",6.5,6.3,4,3.5,3.1,2.7,3.4,4.8,4.6,5.4,5.4,4.7,2.9,2.98499999999999,3.4,6,5.6
