"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",10,10,9.9,9.1,9.6,10,10,9.6,9.14,8.9,8.4,9.7,8.9,7.8,8.5,9.71,10
"Mean",3.32606804840062,3.53819116582187,3.34585582673347,2.73826692581795,2.37137391944087,2.05472488462904,1.96212758708798,1.89874163879599,2.11169113791295,2.35474871248446,2.16369167012018,2.36533429446747,2.15827278958191,2.1142118226601,2.47350612629595,2.98053962900506,2.48157016712547
"Median",3.26,3.37,3.24,2.4,2,1.8,1.65,1.59,1.8,2.05,1.98,2.11,1.85,1.84,2.17,2.79,2.1
"Q95",6,6.9,6.26,5.744,4.79,3.94,3.96,3.87,4.1965,4.7,3.81,4.52,4.2925,4.07,4.66,5.795,5.1
