"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",5.9,6,5.9,5.3,5.9,4.3,5,6,5.8,6,6,6,5.8,4.5,5.3,5.5,6
"Mean",2.48779015784587,3.04920400459544,2.54696924455061,1.73393719806763,1.66929510155317,1.67215619694397,1.36317663817664,1.46044267877412,1.55301600328272,2.07610921501706,2.37918939984412,2.44696725711218,2.17623642943305,1.67543186180422,1.43108108108108,1.76077953714982,2.24300332565874
"Median",2.3,3,2.4,1.6,1.5,1.5,1.2,1.3,1.3,1.7,2.1,2.3,2,1.5,1.3,1.5,2
"Q95",4.5,4.8,4.35999999999999,3,2.8,2.86,2.1,2.79499999999998,3.3,4,4.4,4.48999999999999,3.9,2.6,2.2,3.5,4.3
