"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",6,6,6,4.2,5.5,4,4.3,5.9,6,6,6,6,5.8,3.5,4.1,4.7,6
"Mean",2.65891472868217,3.30833488026731,2.68525024859132,1.69848320693391,1.72043795620438,1.81726618705036,1.39039955604883,1.56128904705417,1.86068349753695,2.14741214057508,2.67009482129832,2.61069676153091,1.92439716312057,1.58405315614618,1.43366583541147,1.72021116138763,2.30889697245273
"Median",2.5,3.3,2.6,1.6,1.6,1.7,1.3,1.3,1.4,1.9,2.5,2.3,1.7,1.4,1.3,1.5,1.9
"Q95",4.6,5.2,4.6,2.89,2.9,3,2.2,3.1,4.2,4,5.1,5,3.4,2.7,2.4,3.2,4.6
