"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",5.7,4.3,4,3.5,4.4,5.5,6,5.4,3.7,3.5,4.4,4.5,5.7,5.9,6,4.7,6
"Mean",2.20241879751209,1.87407407407407,1.77314285714286,1.67435897435897,1.77707006369427,1.71743375174338,1.93966666666667,1.85347593582888,1.60048309178744,1.5570796460177,1.66292517006803,1.82352941176471,2.20754242614708,2.33334218210778,2.19470284237726,2.18776978417266,2.09538567493113
"Median",2,1.8,1.6,1.55,1.6,1.6,1.7,1.7,1.5,1.4,1.6,1.7,2,2.2,2,2,1.9
"Q95",4.1,3.325,3,2.6,2.9,2.81999999999999,3.5,3.3,2.57,2.275,2.7,2.9,3.8,3.9,3.8,3.7,3.7
