"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",9,9,8.1,6.2,5.9,6.3,6.7,8.2,8,8.2,8.7,7.1,7.7,7.9,5.9,9,9
"Mean",4.24038384646142,4.12139969681657,3.55390211640212,2.50299785867238,2.02052067381317,2.05845033801352,2.07481549815498,2.06622950819672,1.91821889870836,2.36514976958525,2.62459474566797,2.28085456039441,2.12559081701553,2.00302405498282,2.12643902439024,3.05707800247627,3.07513720109761
"Median",4.2,4.1,3.6,2.2,1.8,1.9,1.8,1.7,1.6,2,2.4,2,1.9,1.8,2,2.8,2.7
"Q95",6.8,6.8,6,4.67,3.54,3.6,4.1,4.53,4.2,4.9,5.2,4.4,3.9,3.5,3.6,5.5,6.1
