"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",8,7.84,7.99,7.3,6.89,7.88,7.98,8,8,7.3,7.9,6.6,7.5,6.2,7.77,7.36,8
"Mean",2.91987557696167,3.04286938534279,3.08509687034277,2.37445383222692,2.05585837548349,1.82018063173823,1.71089809630459,1.76656810153081,2.04120684340321,2.07829450350599,2.24163508048529,2.35304188533518,2.33935335239911,2.32907834101382,2.34534011220196,2.33209314775161,2.23605409745074
"Median",2.83,2.9,2.875,2.1,1.71,1.66,1.52,1.55,1.8,1.86,2.19,2.23,2.17,2.14,2.12,2.13,1.98
"Q95",5.3,5.5,6.057,4.442,4.05,3.18,3,3.2,3.9,3.8,3.54,3.97,4.19349999999999,4.22,4.1,4.1365,4.21
