"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",10,10,9.8,7.3,6,5.7,6.7,10,10,9.6,9.9,9.2,6.5,7,8,10,10
"Mean",3.62738693467337,3.42635401616619,2.23449372680686,1.84885598923284,1.7080011554015,1.66177989670242,1.78958646616541,2.49747828991316,2.4717868338558,2.46332253240279,2.55169079425409,2.21907975460123,2.20303877476601,2.14735887096774,2.00305227012591,2.97278505642755,2.68669424828209
"Median",3.3,3,1.9,1.6,1.5,1.5,1.5,2.1,2.1,2,2.2,2,2.1,2,1.8,2.6,2.2
"Q95",7.2,7.2,4.5,3.6,3.2,2.9,3.4,5.3,5.1,5.3,5.35,4,3.6,3.5,3.4,6.1,5.9
