"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",5,4.9,4.1,4.2,5,5,5,4.9,5,3.6,4.2,4.6,4.9,5,5,4.9,5
"Mean",2.32390188248716,2.09799426934097,1.75086206896552,1.88988764044944,2.02633744855967,2.14450625869263,2.29637518684604,2.07059569074778,1.74626168224299,1.63235294117647,1.7577358490566,1.91120218579235,2.01028037383178,1.91885619560713,1.95914832190545,2.31163895486936,2.12279424121898
"Median",2.2,2,1.5,1.7,1.8,2,2.1,1.9,1.55,1.55,1.6,1.7,1.8,1.8,1.8,2.2,1.9
"Q95",4.03999999999999,3.6,3,3.4,3.8,3.8,4,3.7,3.14,2.3,2.88,3.5,3.7,3.3,3.4,3.8,3.8
