"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",7,7,7,5.3,6.5,4.4,5,6,7,7,7,7,6.7,5.8,5.3,5.5,7
"Mean",2.43511254019293,3.18861590038314,2.67487497844456,1.72217105263158,1.68749587594853,1.65965983427824,1.35289066094157,1.46969889467666,1.67347735059003,2.06851620947631,2.42397276355952,2.66924293213585,2.43709246767847,1.81347498655191,1.49921135646688,1.68270791075051,2.30119310888762
"Median",2.3,3.1,2.5,1.6,1.5,1.5,1.2,1.3,1.3,1.8,2.2,2.6,2.3,1.7,1.4,1.5,2
"Q95",4.3,5.1,4.7,3,2.9,2.84000000000001,2,2.8,3.6,3.9,4.6,4.5,4,3,2.3,3,4.4
