"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",10,10,9.8,6,6,5.7,6.7,9,9,9.5,9,8.1,5.9,5.8,4.9,9.2,10
"Mean",3.61875875595405,3.73276231263383,2.56584905660377,2.02803738317757,1.77667121418827,1.68550724637681,1.7246887966805,2.40690566037736,2.53281573498965,2.54612494128699,2.73567210837096,2.37005721551176,2.31741118536757,2.27049504950495,2.05438356164384,3.02116202172886,2.83482360031857
"Median",3.3,3.3,2.1,1.7,1.5,1.4,1.5,2,2.2,2.2,2.4,2.2,2.2,2.2,1.9,2.7,2.4
"Q95",7.1,7.5,5.255,4,3.74,3.1,2.9,5,5,5.5,5.5,4.175,3.8,3.7,3.4,6,6.1
