"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",11,11,10.8,9.45,8.69,8.03,9.1,8.03,7.8,9.3,9.9,9,10.2,8.6,9.35,8.74,11
"Mean",3.68228184151428,4.31210143852884,3.40684126984127,2.5349335049335,2.44609675281643,2.32232602681422,2.12826977117623,1.97697508896797,2.00581496881497,2.36047080979284,2.02869816586922,2.1867932837875,2.2286524822695,2.0850406268137,2.49458909818303,2.96027694929697,2.71549801672057
"Median",3.44,3.9,2.86,1.91,2.18,2,1.74,1.62,1.7,1.99,1.73,1.74,1.6,1.69,2.27,2.77,2.19
"Q95",7.3865,8.9,7.71,6.315,4.42,4.48,4.36,4.12,4,5.2,3.98,5,5.73,4.1975,4.6,5.7,6.2
