"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",13.4,12.9,13.4,10.8,10.3,9.3,7.7,9.8,8.2,7.7,9.8,9.8,8.7,10.3,7.7,9.3,13.4
"Mean",3.71957919345412,4.53252811328613,4.62561855670103,2.99321475625823,2.61340675125688,2.67260416666667,2.39795918367347,2.4121546961326,2.34896206156049,2.5522577092511,3.25750577367206,3.61223371880706,2.64198988195616,2.47322551662174,2.46268068331143,3.05802816901408,3.11012475825718
"Median",3.6,4.6,4.6,2.35,2.6,2.6,2.1,2.1,2.1,2.1,2.6,3.1,2.6,2.1,2.1,2.6,2.6
"Q95",6.2,7.7,8.2,6.7,4.6,5.1,4.1,4.6,4.6,4.6,6.7,7.2,4.6,4.1,4.1,5.7,6.2
