"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",7,7,6.7,4.9,4.4,4.9,4.2,5.8,6.8,6.8,6.7,7,5.5,7,5.2,6.9,7
"Mean",3.07685426761088,2.90515542077331,2.03921232876712,1.63243243243243,1.5496282527881,1.45732087227414,1.55095541401274,1.85421052631579,1.98690112130479,2.10428842504744,2.231887791613,2.14928425357873,2.28323187603763,2.25171428571429,2.01474178403756,2.60185463659148,2.27869983747969
"Median",2.9,2.6,1.8,1.4,1.4,1.3,1.3,1.6,1.8,1.9,2,2,2.2,2.2,1.9,2.3,2
"Q95",5.6,5.7,3.96499999999999,2.8,2.6,2.4,2.7,3.3,3.6,4,4.2,3.7,3.6,3.6,3.3,5,4.4
