"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",12.8,12.9,12.1,8.1,6.8,6.4,7.6,8,8.6,9.3,8.6,6.8,6,6.3,7.1,9.3,12.9
"Mean",4.37176294820717,4.364630988347,3.80879067508499,2.66998050682261,1.99768392370572,1.85973079080202,2.00115761353517,2.15560791705938,1.95237628613425,2.68258817685047,2.75385416666667,2.37784184514003,2.25521965044875,2.1564153769346,2.12732707087959,2.82545968882603,3.01371965422641
"Median",4.2,4.2,3.7,2.4,1.7,1.7,1.8,1.7,1.7,2.4,2.6,2.1,2,1.9,1.9,2.6,2.6
"Q95",8,7.8,6.6,5.3,3.7,3.1,3.8,4.7,3.9,5.1,5,4.4,4.2,4,3.7,5.3,6.2
