"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",5.8,4.6,7,7,7,6.7,7,6.9,6.2,5.4,6.4,6.8,6.9,6.8,5.8,6.1,7
"Mean",2.4317037037037,2.11024096385542,2.42040229885057,2.76303501945525,3.00845724907063,2.25244299674267,2.62082061068702,2.60129310344828,2.04411764705882,1.88925619834711,2.01491442542787,2.2444094488189,2.50056179775281,2.01620639534884,1.98664416586307,2.29947368421053,2.41616686889698
"Median",2.3,1.95,2.2,2.5,2.8,2.1,2.4,2.3,1.7,1.7,1.8,2,2.2,1.7,1.8,2.15,2.2
"Q95",4.3,3.7,4.665,5.135,5.7,4,4.6,4.865,4.1,3.3,3.91999999999999,4.3,4.965,3.9,3.6,3.9,4.5
