"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",9.3,13.9,14.9,13.9,15.4,11.8,11.3,8.2,8.8,10.8,12.3,15.4,9.8,7.7,8.7,9.8,15.4
"Mean",3.85099067599068,4.92627952755906,4.71510883482715,2.83697705802969,2.69654088050314,2.64007009345794,2.64361140443506,2.92938596491228,2.48654519971969,2.60933412604043,3.13902077151335,3.33161546085233,2.31169844020797,2.21228991596639,2.53500627352572,3.2560773480663,3.12084881756757
"Median",3.6,4.6,4.1,2.35,2.6,2.6,2.1,2.6,2.1,2.6,2.6,2.6,2.1,2.1,2.1,3.1,2.6
"Q95",6.7,9.3,9.3,6.17500000000002,5.1,5.1,5.1,6.12500000000001,4.6,4.6,6.2,7.2,4.27499999999995,4.1,5.1,5.7,6.7
