"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",7,7,7,4.5,4.8,4,4.2,5.9,6.1,6.8,6.9,7,6.4,5.8,4.2,4.9,7
"Mean",2.40634211701653,3.32226943657539,2.90073637702504,1.77869986168741,1.7328317373461,1.61894934333959,1.35167095115681,1.47605921388464,1.66027446731672,2.09875498007968,2.49257657657658,2.71718602455146,2.42888698262921,1.83736356003359,1.50030737704918,1.7103668261563,2.39439889643684
"Median",2.3,3.3,2.8,1.6,1.5,1.5,1.3,1.3,1.4,1.8,2.3,2.6,2.3,1.7,1.4,1.5,2.1
"Q95",4.2,5.3,5.2,3.1,2.9,2.7,1.9,2.70999999999999,3.35999999999999,4.06499999999999,4.7,4.5,4,3.1,2.3,3.1,4.6
