"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",12.3,13.9,13.9,13.9,9.3,8.7,9.3,7.7,8.2,8.2,10.3,10.3,9.8,7.7,7.7,9.8,13.9
"Mean",3.62839285714286,4.68386633129716,5.07134545454545,3.02369604316547,2.42087312414734,2.4866373902133,2.45909090909091,2.53424242424242,2.43027834351663,2.70984555984556,3.82991922455574,4.12986738999397,3.05904688105386,2.57621818181818,2.46616314199396,2.86707152496626,3.34156683721928
"Median",3.6,4.6,5.1,2.1,2.1,2.1,2.1,2.1,2.1,2.6,3.6,4.1,2.6,2.6,2.1,2.6,3.1
"Q95",6.2,7.7,9.3,6.7,4.1,4.1,4.6,5.1,4.6,5.1,6.7,7.2,5.7,4.6,4.6,5.1,6.7
