"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",5.9,5.4,6.8,7,6.5,5.6,7,6.4,6,5.6,5.8,5.7,6.3,6.2,6,5.5,7
"Mean",2.39680696661829,2.2928125,2.6017316017316,2.90349854227405,2.36029411764706,1.95348583877996,2.20067134574306,2.15377094972067,1.7383275261324,1.95231481481481,1.97627118644068,2.15192837465565,2.39601113172542,2.36,2.1850933908046,2.26714082503556,2.25571693091077
"Median",2.3,2.2,2.3,2.4,2.2,1.7,2,1.9,1.5,1.6,1.8,1.9,2.3,2.2,2,2.2,2.1
"Q95",4.1,3.805,4.895,6.1,4.4,3.6,4,4,2.8,3.625,3.645,3.9,4.1,4,3.78499999999999,3.8,4
