"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",9,9,8.2,7.3,5.3,4.9,6.7,9,9,8.9,9,8.9,6.5,6.4,6.5,8.8,9
"Mean",3.73368049426302,3.4631585549423,2.19410071942446,1.88128964059197,1.75542635658915,1.74668071654373,1.87544554455446,2.78676880222841,2.69040612717928,2.82429724464236,3.08461538461538,2.12604828462516,1.87466467958271,1.87024952015355,1.92598684210526,3.26025418833044,2.89334476379552
"Median",3.4,3.1,1.8,1.6,1.6,1.5,1.6,2.3,2.3,2.4,2.5,1.8,1.7,1.7,1.7,2.9,2.4
"Q95",7.3,7.3,4.5,3.5,3.2,3.1,3.8,5.8,5.6,6.2,7,4.46999999999999,3,3.2,3.585,6.8,6.4
