"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",13.4,15.4,16,16.5,16.5,11.8,11.3,9.8,8.8,16.5,12.3,15.4,15.4,17,17,9.8,17
"Mean",3.70725471396612,4.64478380233356,4.71397779229262,2.7963725623892,2.5014985014985,2.56546456692913,2.45426726558113,2.55964848041011,2.40280216070223,2.64124335681622,3.71584025986434,4.06463895770254,3.09550405809483,2.55918635170604,2.51795606494747,3.02054531490015,3.22768023711969
"Median",3.6,4.6,4.6,2.1,2.1,2.6,2.1,2.1,2.1,2.6,3.6,4.1,3.1,2.1,2.1,2.6,2.6
"Q95",6.2,7.7,8.7,6.2,4.6,4.6,4.6,5.1,4.6,4.6,6.7,7.2,5.7,4.6,4.6,5.7,6.2
