"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",5,5,5,3.7,3.9,4.4,4.4,3.6,4.9,4.9,5,5,5,4.9,4.8,4.7,5
"Mean",2.13078393881453,2.84140410958904,2.42002212389381,1.67137809187279,1.57952286282306,1.45966386554622,1.30733371233655,1.32917951881555,1.5101860920666,1.92296564195298,2.20595786701778,2.65355387272486,2.53096169974839,1.87947214076246,1.55378850957535,1.5801824212272,2.20212221798988
"Median",1.9,2.9,2.3,1.5,1.4,1.3,1.2,1.2,1.3,1.7,2.1,2.6,2.5,1.7,1.5,1.5,2
"Q95",3.9,4.4,4.1,2.6,2.6,2.325,1.8,2,2.9,3.5,3.7,4.2,4,3,2.4,2.5,3.9
