"","data","hour","min","Tair","RH","wind","winddir","rain","SunJ","season"
"417182",2005-04-10,15,45,9.7,73,8.89,23,0.2,52200,2
"829518",2017-01-17,11,30,2.9,55,8.88,360,0,93510,1
"763949",2015-03-05,12,30,9.6,27,8.88,360,0,328140,2
"763944",2015-03-05,11,15,9,31,8.88,360,0,171360,2
"690953",2013-02-03,3,30,5.6,66,8.88,360,0,0,1
"417183",2005-04-10,16,0,9.7,73,8.88,19,1.2,46800,2
"409919",2005-01-24,23,0,5,47,8.88,37,0,0,1
"403015",2004-11-14,1,0,10.7,60,8.88,46,2.4,0,4
"375245",2004-01-29,17,45,2.3,84,8.88,53,0,0,1
"765842",2015-03-26,1,0,12.5,86,8.87,104,1,0,2
"763947",2015-03-05,12,0,9.6,28,8.87,360,0,411840,2
"403012",2004-11-14,0,15,11.6,59,8.87,39,0,0,4
"375246",2004-01-29,18,0,2.7,80,8.87,42,0,0,1
"656201",2012-02-05,21,45,-2.2,46,8.86,360,0,0,1
"410007",2005-01-25,21,0,2.5,63,8.86,36,0,0,1
"409991",2005-01-25,17,0,3.2,58,8.86,27,0,9000,1
"370255",2003-12-08,18,15,6.2,51,8.86,31,0,0,1
"717952",2013-11-11,9,15,11.7,49,8.85,360,0,87570,4
"417249",2005-04-11,8,30,10.2,64,8.85,28,0,162900,2
"417199",2005-04-10,20,0,9.9,72,8.85,43,1.4,0,2
"410012",2005-01-25,22,15,2.6,58,8.85,41,0,0,1
"409921",2005-01-24,23,30,4.9,46,8.85,39,0,0,1
"375247",2004-01-29,18,15,3.1,76,8.85,41,0,0,1
"371674",2003-12-23,13,0,5.2,40,8.85,37,0,403200,1
"831717",2017-02-09,9,15,6.8,60,8.84,360,0,127890,1
"409985",2005-01-25,15,30,3.3,58,8.84,30,0,90900,1
"409962",2005-01-25,9,45,2.4,63,8.84,46,0,107100,1
"409958",2005-01-25,8,45,3.1,56,8.84,45,0,52200,1
"403026",2004-11-14,3,45,9.9,55,8.84,41,1,0,4
"829461",2017-01-16,21,15,2.4,56,8.83,360,0,0,1
"690945",2013-02-03,1,30,5.3,67,8.83,360,0,0,1
"656736",2012-02-11,11,30,-1.4,53,8.83,360,0,113310,1
"417242",2005-04-11,6,45,9.7,66,8.83,27,0,80100,2
"417185",2005-04-10,16,30,9.3,76,8.83,23,0.4,28800,2
"410036",2005-01-26,4,15,1.9,54,8.83,36,0,0,1
"409925",2005-01-25,0,30,4.8,47,8.83,44,0,0,1
"704830",2013-06-27,16,45,21.7,40,8.82,360,0,441990,3
"656069",2012-02-04,12,45,-1.7,51,8.82,360,0,159030,1
"413211",2005-02-28,6,0,1.6,57,8.82,48,0,0,1
"410039",2005-01-26,5,0,1.7,57,8.82,39,0,0,1
"410004",2005-01-25,20,15,2.6,63,8.82,32,0.6,0,1
"409922",2005-01-24,23,45,4.9,45,8.82,42,0,0,1
"829468",2017-01-16,23,0,2,59,8.81,360,0,0,1
"417255",2005-04-11,10,0,11.5,61,8.81,36,0,526500,2
"410035",2005-01-26,4,0,2,53,8.81,26,0,0,1
"409996",2005-01-25,18,15,2.9,61,8.81,29,0,0,1
"409968",2005-01-25,11,15,3.4,55,8.81,30,0,173700,1
"403047",2004-11-14,9,0,10.7,41,8.81,48,2,119700,4
"403045",2004-11-14,8,30,10.7,42,8.81,36,0.6,93600,4
"816775",2016-09-06,17,45,22.7,49,8.8,40,0.2,9090,4
"417212",2005-04-10,23,15,10.8,65,8.8,35,1.4,0,2
"417210",2005-04-10,22,45,10.7,66,8.8,25,2.2,0,2
"409949",2005-01-25,6,30,2.9,53,8.8,39,0,0,1
"409923",2005-01-25,0,0,4.9,45,8.8,42,0,0,1
"690948",2013-02-03,2,15,5.1,67,8.79,360,0,0,1
"413223",2005-02-28,9,0,1.3,54,8.79,49,0,221400,1
"800671",2016-03-22,23,45,13.6,48,8.78,31,0,0,2
"655920",2012-02-02,23,30,-0.4,58,8.78,360,0,0,1
"647351",2011-11-05,13,45,20.6,56,8.78,124,0,118890,4
"417216",2005-04-11,0,15,10.5,65,8.78,37,1.6,0,2
"417211",2005-04-10,23,0,10.8,65,8.78,40,1,0,2
"410011",2005-01-25,22,0,2.7,58,8.78,38,0,0,1
