"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",8,8,8,7.77,7.94,7.9,8,8,7.8,6.8,6.5,7.4,7.8,7.9,8,7.87,8
"Mean",3.14201952882827,3.23629069767442,3.39527794561934,2.57643184421535,2.49848010269576,2.24066393769968,2.00305329299511,1.84129740518962,1.93800743494424,1.99898144329897,1.96292808219178,2.03637475853187,2.02956104252401,2.04453917050691,2.44232963279249,2.61563514804203,2.41127797035546
"Median",3.06,3.1,3.295,2.28,2.23,1.92,1.67,1.55,1.65,1.69,1.7,1.77,1.69,1.72,2.21,2.42,2.02
"Q95",5.7,6.18099999999999,6.47099999999999,5.0925,4.7,4.36,4.14,3.71,3.9,4.068,3.7325,3.9,4.2925,4.2,4.4,4.8,4.9
