"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",10.3,12.3,14.4,10.8,11.8,11.3,7.2,9.8,7.7,8.2,10.3,10.3,15.4,7.7,8.2,9.8,15.4
"Mean",3.58974804517811,4.36082677165354,4.08811739441661,2.37974383301708,2.24859578736209,2.38060498220641,2.27046783625731,2.36455505279035,2.35070682237246,2.6647619047619,3.99969711090401,4.32158652870765,3.56444155844156,2.90229885057471,2.62903225806452,2.82610722610723,3.28198775229644
"Median",3.6,4.6,4.1,2.1,2.1,2.1,2.1,2.1,2.1,2.6,4.1,4.1,3.6,2.6,2.6,2.6,3.1
"Q95",6.2,6.7,7.7,5.1,3.6,4.1,4.1,4.54999999999999,4.6,4.6,6.7,6.7,6.2,5.1,4.6,5.1,6.2
