"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",8.9,9,8,6.1,6.7,8.5,8.2,7.6,7.4,9,8.7,7.2,7.9,8,7.2,7.1,9
"Mean",4.07856714628297,3.75899470899471,3.16487252124646,2.26568047337278,1.80485651214128,1.80732159406858,1.88250950570342,1.94934065934066,1.93344676713661,2.63635437881874,2.79626680820948,2.64486891385768,2.61452928094885,2.3103781512605,2.05966542750929,2.56145069274654,2.72672961276907
"Median",4,3.7,3.1,2,1.6,1.6,1.6,1.6,1.7,2.4,2.7,2.6,2.5,2.1,1.8,2.3,2.5
"Q95",7,6.4,5.4,4.215,3.2,3.4,3.5,4,3.8,5,4.8,4.5,4.5,4.2,3.6,4.6,5.2
