"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",11,10.9,9.7,7.1,5.4,8,5.9,8.3,7.6,9.4,10.3,6.9,7.1,8.4,6.9,9,11
"Mean",4.78328071560116,4.28948929159802,3.31834677419355,2.40738396624473,2.15252837977296,2.14249213836478,2.17820143884892,2.56815343443354,2.05313382269904,2.60069038767924,2.76669213139801,2.22555205047319,1.85236938031592,1.89974597798476,2.3716049382716,3.31860184813178,3.26495331932339
"Median",4.8,4.1,3.1,2.15,2,1.9,1.9,2,1.7,2.3,2.4,1.8,1.6,1.7,2.1,3.2,2.8
"Q95",7.8,7.6,6.3,4.635,3.7,3.9,4.3,5.6,4.3,5.2,5.6,4.9,3.3,3.4,4.4,6.05999999999999,6.8
