"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",6.6,6.1,7,7,7,6.7,7,6.9,6.7,5.6,6.4,6.8,6.9,6.8,6.8,6.1,7
"Mean",2.35411020776874,2.11701520912548,2.32306993642143,2.65375609756098,2.64167550371156,2.06943606405198,2.34807512322955,2.25643388869195,1.80609357997824,1.75744360902256,1.8457324106113,2.03499803381832,2.29200267320116,2.2013701350278,2.09455053563111,2.28206543161214,2.23139723150079
"Median",2.2,2,2,2.2,2.3,1.9,2.1,2,1.6,1.5,1.7,1.8,2.1,2,1.9,2.1,2
"Q95",4.2,3.7,4.6,5.48,5.3,3.8,4.3,4.3,3.30999999999999,3.2,3.3,3.6,4.2,3.8,3.7,3.8,4.1
