"","N","NNE","NE","ENE","E","ESE","SE","SSE","S","SSW","SW","WSW","W","WNW","NW","NNW","ALL"
"Max",13,13.5,12.1,9.2,6.8,8.5,8.2,8.3,8.6,9.4,10.3,7.2,7.9,8.4,7.2,9.8,13.5
"Mean",4.44031121430608,4.20534011898789,3.53348746220879,2.48449525934189,2.02531149875401,2.00230590803657,2.05412676698586,2.20376840529074,1.96453678474114,2.60833134209478,2.75571955719557,2.48103573153066,2.36511572980633,2.13363727026642,2.1577413032827,3.00436940208182,3.01398658279045
"Median",4.3,4.1,3.4,2.2,1.8,1.8,1.8,1.7,1.7,2.3,2.6,2.3,2.1,1.9,2,2.8,2.6
"Q95",7.5,7.4,6.2,4.8,3.6,3.6,3.9,5,4,5,5,4.5,4.3,3.9,3.8,5.6,6.2
